ID,Competitor Name,Sex,Age,Age Grouping,Height,Weight,Nation Code,Year,Sport,Event,Medal
252,Youcef Abdi,Male,30,25-30,178,66,AUS,2008,Athletics,"Athletics Men's 3,000 metres Steeplechase",Not Registered
252,Youcef Abdi,Male,34,Over 30,178,66,AUS,2012,Athletics,"Athletics Men's 3,000 metres Steeplechase",Not Registered
253,Jamal Abdi Hassan Abdullah,Male,19,18-25,177,65,QAT,1992,Athletics,"Athletics Men's 3,000 metres Steeplechase",Not Registered
253,Jamal Abdi Hassan Abdullah,Male,23,18-25,177,65,QAT,1996,Athletics,"Athletics Men's 3,000 metres Steeplechase",Not Registered
254,Talal Omar Abdillahi,Male,21,18-25,170,57,DJI,1988,Athletics,"Athletics Men's 10,000 metres",Not Registered
254,Talal Omar Abdillahi,Male,25,18-25,170,57,DJI,1992,Athletics,Athletics Men's Marathon,Not Registered
255,Mahmoud Ahmed Abdin,Male,21,18-25,NULL,NULL,EGY,1928,Fencing,"Fencing Men's Foil, Individual",Not Registered
255,Mahmoud Ahmed Abdin,Male,21,18-25,NULL,NULL,EGY,1928,Fencing,"Fencing Men's Foil, Team",Not Registered
255,Mahmoud Ahmed Abdin,Male,29,25-30,NULL,NULL,EGY,1936,Fencing,"Fencing Men's Foil, Individual",Not Registered
255,Mahmoud Ahmed Abdin,Male,29,25-30,NULL,NULL,EGY,1936,Fencing,"Fencing Men's Foil, Team",Not Registered
255,Mahmoud Ahmed Abdin,Male,29,25-30,NULL,NULL,EGY,1936,Fencing,"Fencing Men's epee, Individual",Not Registered
255,Mahmoud Ahmed Abdin,Male,29,25-30,NULL,NULL,EGY,1936,Fencing,"Fencing Men's epee, Team",Not Registered
255,Mahmoud Ahmed Abdin,Male,41,Over 30,NULL,NULL,EGY,1948,Fencing,"Fencing Men's Foil, Team",Not Registered
256,"Abdihakim ""Abdi"" Abdirahman",Male,23,18-25,178,61,USA,2000,Athletics,"Athletics Men's 10,000 metres",Not Registered
256,"Abdihakim ""Abdi"" Abdirahman",Male,27,25-30,178,61,USA,2004,Athletics,"Athletics Men's 10,000 metres",Not Registered
256,"Abdihakim ""Abdi"" Abdirahman",Male,31,Over 30,178,61,USA,2008,Athletics,"Athletics Men's 10,000 metres",Not Registered
256,"Abdihakim ""Abdi"" Abdirahman",Male,35,Over 30,178,61,USA,2012,Athletics,Athletics Men's Marathon,Not Registered
257,Ali Abdo,Male,19,18-25,169,74,AUS,2000,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Not Registered
257,Ali Abdo,Male,23,18-25,169,74,AUS,2004,Wrestling,"Wrestling Men's Middleweight, Freestyle",Not Registered
257,Ali Abdo,Male,27,25-30,169,74,AUS,2008,Wrestling,"Wrestling Men's Middleweight, Freestyle",Not Registered
258,Hamza Abdo,Male,17,Under 18,NULL,NULL,PLE,2008,Swimming,Swimming Men's 50 metres Freestyle,Not Registered
259,Reema Abdo,Female,21,18-25,173,59,CAN,1984,Swimming,Swimming Women's 100 metres Backstroke,Not Registered
259,Reema Abdo,Female,21,18-25,173,59,CAN,1984,Swimming,Swimming Women's 200 metres Backstroke,Not Registered
259,Reema Abdo,Female,21,18-25,173,59,CAN,1984,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
260,Ahmed Abdo Mustafa,Male,NULL,NULL,NULL,NULL,SUD,1972,Football,Football Men's Football,Not Registered
261,Nasrollah Abdollahi,Male,24,18-25,183,75,IRI,1976,Football,Football Men's Football,Not Registered
262,Yhyacinthe Mewoli Abdon,Male,26,25-30,176,60,CMR,2012,Boxing,Boxing Men's Lightweight,Not Registered
263,Hassane Abdou,Male,23,18-25,185,67,COM,1996,Athletics,Athletics Men's 400 metres,Not Registered
264,Justin Abdou,Male,29,25-30,175,85,CAN,2000,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Not Registered
265,Moustafa Ahmed Ismail Abdou Ali Arfah,Male,31,Over 30,NULL,NULL,EGY,1984,Football,Football Men's Football,Not Registered
266,Raouf Abdou,Male,22,18-25,165,60,EGY,2004,Modern Pentathlon,Modern Pentathlon Men's Individual,Not Registered
267,Mohamed Abdou El-Souad,Male,19,18-25,180,76,EGY,1988,Modern Pentathlon,Modern Pentathlon Men's Individual,Not Registered
267,Mohamed Abdou El-Souad,Male,19,18-25,180,76,EGY,1988,Modern Pentathlon,Modern Pentathlon Men's Team,Not Registered
267,Mohamed Abdou El-Souad,Male,23,18-25,180,76,EGY,1992,Modern Pentathlon,Modern Pentathlon Men's Individual,Not Registered
267,Mohamed Abdou El-Souad,Male,23,18-25,180,76,EGY,1992,Modern Pentathlon,Modern Pentathlon Men's Team,Not Registered
268,Brahim Daoud Abdoulaye,Male,25,18-25,NULL,71,CHA,1996,Athletics,Athletics Men's 200 metres,Not Registered
269,Fawziya Abdoulkarim,Female,27,25-30,180,67,CMR,2016,Volleyball,Volleyball Women's Volleyball,Not Registered
270,Alaa El-Din Abdoun,Male,23,18-25,188,78,EGY,1988,Basketball,Basketball Men's Basketball,Not Registered
271,Ibrahim Abdrabbou,Male,27,25-30,NULL,NULL,EGY,1952,Boxing,Boxing Men's Bantamweight,Not Registered
272,Berik Abdrakhmanov,Male,30,25-30,165,60,KAZ,2016,Boxing,Boxing Men's Lightweight,Not Registered
273,Maizurah Abdul Rahim,Female,17,Under 18,147,50,BRU,2016,Athletics,Athletics Women's 200 metres,Not Registered
274,Mehdi Fahim Abdul Al-Sada,Male,24,18-25,184,70,IRQ,1980,Athletics,Athletics Men's 4 x 400 metres Relay,Not Registered
275,Bashir Abdullah Abdul Aziz,Male,22,18-25,180,73,KUW,2000,Football,Football Men's Football,Not Registered
276,Chairil Anwar Abdul Aziz,Male,24,18-25,163,61,MAS,1996,Hockey,Hockey Men's Hockey,Not Registered
276,Chairil Anwar Abdul Aziz,Male,28,25-30,163,61,MAS,2000,Hockey,Hockey Men's Hockey,Not Registered
277,Shaimaa Abdul Aziz,Female,19,18-25,160,53,EGY,2000,Table Tennis,Table Tennis Women's Singles,Not Registered
277,Shaimaa Abdul Aziz,Female,19,18-25,160,53,EGY,2000,Table Tennis,Table Tennis Women's Doubles,Not Registered
277,Shaimaa Abdul Aziz,Female,27,25-30,160,53,EGY,2008,Table Tennis,Table Tennis Women's Singles,Not Registered
278,Mohamed Abdul Hadj,Male,25,18-25,NULL,NULL,MAS,1992,Hockey,Hockey Men's Hockey,Not Registered
279,Jefri Kiko Bolkiah Abdul Hakeem,Male,23,18-25,172,90,BRU,1996,Shooting,Shooting Men's Skeet,Not Registered
279,Jefri Kiko Bolkiah Abdul Hakeem,Male,27,25-30,172,90,BRU,2000,Shooting,Shooting Men's Skeet,Not Registered
280,Mohamed Abdul Hamid,Male,19,18-25,175,55,SUD,2000,Swimming,Swimming Men's 50 metres Freestyle,Not Registered
281,S. Abdul Hamid,Male,NULL,NULL,NULL,NULL,IND,1928,Athletics,Athletics Men's 110 metres Hurdles,Not Registered
281,S. Abdul Hamid,Male,NULL,NULL,NULL,NULL,IND,1928,Athletics,Athletics Men's 400 metres Hurdles,Not Registered
282,Hadi Abdul Jabbar,Male,30,25-30,180,117.5,IRQ,1960,Weightlifting,Weightlifting Men's Heavyweight,Not Registered
282,Hadi Abdul Jabbar,Male,34,Over 30,180,117.5,IRQ,1964,Weightlifting,Weightlifting Men's Heavyweight,Not Registered
283,Mohamed Abed Abdul Jawad,Male,22,18-25,169,65,KSA,1984,Football,Football Men's Football,Not Registered
284,Anouar Abdul Kader,Male,27,25-30,NULL,NULL,SYR,1980,Football,Football Men's Football,Not Registered
285,Talal Hassoun Abdul Kader,Male,NULL,NULL,NULL,82,IRQ,1980,Weightlifting,Weightlifting Men's Light-Heavyweight,Not Registered
